rock_type,geological_structure,joint_spacing_cm,weathering_grade,presence_of_clay_seams,slope_angle_degrees,bench_height_m,slope_aspect_degrees,bench_width_m,annual_rainfall_mm,pore_water_pressure_kPa,seepage_presence,seismic_activity,blast_vibration_intensity_mm_s,blast_frequency_per_month,time_since_last_rockfall_days,rockfall_event,rockfall_risk,high_risk_flag
granite,bedding plane,25,fresh,0,67,6,195,8,1601,49,0,1,23,4,17,0,0.01,0
limestone,dyke,73,slightly weathered,0,66,8,128,12,987,41,0,0,21,9,38,0,0.01,0
limestone,bedding plane,50,highly weathered,1,50,9,210,7,1700,80,1,0,33,6,40,1,0.76,1
granite,fault,45,highly weathered,0,67,15,180,10,1702,50,0,1,27,5,180,1,0.7,0
granite,bedding plane,60,slightly weathered,1,47,5,85,14,1908,70,1,0,22,6,10,0,0.06,0
granite,fault,35,slightly weathered,1,67,9,60,10,1864,20,1,0,33,9,40,0,0.05,0
sandstone,fault,25,fresh,0,72,13,240,9,1915,40,0,0,35,12,45,0,0.19,0
limestone,bedding plane,55,slightly weathered,1,66,12,160,7,2120,72,1,0,39,10,55,1,0.86,1
limestone,fault,45,slightly weathered,1,66,8,210,6,1600,72,1,0,42,11,80,1,0.75,1
sandstone,dyke,25,slightly weathered,0,60,9,210,7,1501,40,1,0,30,10,60,0,0.03,0
granite,fault,55,slightly weathered,0,66,11,250,10,1653,48,0,0,43,6,60,0,0.03,0
sandstone,bedding plane,35,highly weathered,1,71,6,330,8,2202,75,1,1,40,6,125,1,0.94,1
granite,fault,25,slightly weathered,1,60,10,295,9,1802,35,1,0,30,8,30,1,0.86,1
sandstone,joint,30,fresh,0,50,7,330,6,2201,40,1,0,20,5,180,0,0.02,0
basalt,dyke,75,fresh,0,60,13,90,7,2308,12,0,0,18,7,120,0,0.04,0
limestone,fault,21,slightly weathered,0,65,12,90,10,1802,45,0,0,30,8,90,1,0.66,0
granite,dyke,30,fresh,1,73,13,90,14,2203,30,0,0,48,11,20,0,0.23,0
granite,bedding plane,40,slightly weathered,0,70,6,85,9,1801,30,0,0,30,6,75,0,0.02,0
limestone,bedding plane,28,highly weathered,1,52,12,208,12,1452,70,1,0,42,8,136,1,0.89,1
sandstone,joint,25,slightly weathered,1,67,15,180,9,1658,50,1,1,38,8,115,0,0.05,0
limestone,bedding plane,50,slightly weathered,1,60,8,60,8,2203,60,1,0,38,8,30,0,0.18,0
limestone,fault,40,slightly weathered,0,74,15,60,14,2402,80,1,1,48,12,10,1,1.0,1
basalt,fault,75,fresh,0,71,13,160,12,1763,30,0,1,24,10,20,0,0.1,0
granite,fault,55,slightly weathered,1,68,12,125,10,1700,35,1,0,43,8,45,0,0.26,0
basalt,fault,45,slightly weathered,1,69,11,130,11,2201,75,1,0,42,10,10,1,0.99,1
